Sno,Filter,Filter command,Example,Result,Threshold,Range
344,,Higher Threshold,magick input.jpg -lat 20x20+20% output.jpg,Output: Increases threshold sensitivity with a 20x20 neighborhood and 20% threshold.,20%,20x20
345,,"Small Neighborhood, Low Threshold",magick input.jpg -lat 10x10+5% output.jpg,Output: Thresholds with a 10x10 neighborhood and 5% threshold for finer detail.,5%,10x10
346,,Large Neighborhood,magick input.jpg -lat 30x30+15% output.jpg,Output: Applies thresholding with a 30x30 neighborhood and 15% threshold for broad adjustments.,15%,30x30
347,,Custom High Threshold,magick input.jpg -lat 25x25+25% output.jpg,Output: Increases sensitivity to variations with a 25% threshold on a 25x25 neighborhood.,25%,25x25
348,"/-level 
 level adjustments are made using the format -level <black point>,<white point>[,<gamma>].
 The command modifies image brightness, contrast, and gamma for a broad range of tonal adjustments.",Basic Level Adjustment,"magick input.jpg -level 0%,100% output.jpg",Output: Adjusts the image’s levels from full black to full white range.,"0%,100%",N/A
349,,Highlight Boost,"magick input.jpg -level 0%,120% output.jpg","Output: Expands highlights beyond normal, enhancing brightness.","0%,120%",N/A
350,,Shadow Compression,"magick input.jpg -level 10%,100% output.jpg",Output: Compresses shadows while keeping highlights at max range.,"10%,100%",N/A
351,,Midtones Adjustment,"magick input.jpg -level 20%,80% output.jpg","Output: Focuses on midtones by limiting shadows and highlights, balancing contrast.","20%,80%",N/A
352,,Gamma Correction,"magick input.jpg -level 0%,100%,1.2 output.jpg","Output: Adjusts gamma to 1.2, slightly enhancing midtones without altering black or white points.","0%,100%",Gamma: 1.2
353,,Strong Contrast,"magick input.jpg -level 10%,90% output.jpg",Output: Creates strong contrast by reducing both shadow and highlight ranges.,"10%,90%",N/A
354,"/-map 
 this option restricts colors in input.jpg to those in the provided color map file.
 For optimal results, use a .png format for custom colormap images with well-defined color values.
 Will work when we have .png images
 also throws warning to use ""-remap""",Basic Color Map Application,magick input.jpg -map colormap.png output.jpg,Output: Applies a specified color map from colormap.png to remap colors in input.jpg.,N/A,N/A
355,,Grayscale Mapping,magick input.jpg -map grayscale.png output.jpg,Output: Maps colors of input.jpg to grayscale values defined in grayscale.png.,N/A,N/A
356,,Reduce to 16 Colors,magick input.jpg -map palette_16colors.png output.jpg,"Output: Remaps image colors to a 16-color palette, reducing detail for stylized effect.",N/A,N/A
357,,Custom Skin Tone Map,magick input.jpg -map skin_tone_palette.png output.jpg,Output: Adjusts colors to match tones specified in a skin tone map.,N/A,N/A
358,,Enhanced Contrast Color Map,magick input.jpg -map contrast_map.png output.jpg,Output: Boosts contrast in mapped areas by using a specified contrast-enhancing color map.,N/A,N/A
359,"/-statistic Median geometry
 Apply a median filter to the image.
 Select the 'middle' value from all the surrounding pixels.
 smoothens noise while preserving edges.
 Higher radius values create more pronounced smoothing effects.",Basic Median Filter,magick input.jpg --statistic Median 2 output.jpg,"Applies a median filter with a 2-pixel radius, reducing noise while preserving edges.",N/A,0 to image width
360,,High Radius Median,magick input.jpg --statistic Median 5 output.jpg,Uses a 5-pixel radius for more intense noise reduction and smoothing.,N/A,0 to image width
361,,Low Radius Median,magick input.jpg --statistic Median 1 output.jpg,Minimal smoothing with a 1-pixel radius for slight noise reduction.,N/A,0 to image width
362,,Extreme Noise Reduction,magick input.jpg --statistic Median 10 output.jpg,Extreme noise reduction with a high median radius for very smooth results.,N/A,0 to image width
363,"/-modulate brightness[,saturation,hue]
 Vary the brightness, saturation, and hue of an image.
 -modulate adjusts brightness, saturation, and hue using the format -modulate brightness,saturation,hue.
 Values are in percentages (0–200% for brightness/saturation; 0–360° for hue).",Basic Brightness,"magick input.jpg -modulate 120,100,100 output.jpg",Adjusts brightness to 120% without changing hue or saturation.,N/A,0–200
364,,Basic Saturation,"magick input.jpg -modulate 100,150,100 output.jpg",Increases saturation to 150% without altering brightness or hue.,N/A,0–200
365,,Basic Hue Shift,"magick input.jpg -modulate 100,100,180 output.jpg",Adjusts hue by 180 degrees while keeping brightness and saturation unchanged.,N/A,0–360 degrees
366,,Vintage Effect,"magick input.jpg -modulate 85,75,110 output.jpg",Adds a vintage effect by lowering brightness and saturation with slight hue adjustment.,N/A,Custom Values
367,,High Brightness/Low Sat,"magick input.jpg -modulate 150,50,100 output.jpg","High brightness with reduced saturation for a faded, washed-out look.",N/A,Custom Values
368,,Cool Tone Shift,"magick input.jpg -modulate 90,100,250 output.jpg",Creates a cool tone by shifting hue and reducing brightness.,N/A,Custom Values
369,"/-monochrome
 Transform the image to black and white.",Basic Monochrome,magick input.jpg -monochrome output.jpg,"Converts the image to monochrome, applying a black-and-white threshold.",N/A,N/A
370,,Monochrome with Dither,magick input.jpg -monochrome -dither FloydSteinberg output.jpg,Applies Floyd-Steinberg dithering for smoother monochrome conversion.,N/A,N/A
,,Monochrome with No Dither,magick input.jpg -monochrome -dither None output.jpg,Converts to monochrome without any dithering effect.,N/A,N/A
,,Monochrome with Threshold,magick input.jpg -threshold 50% -monochrome output.jpg,Sets a threshold for pixel intensity at 50% for a custom monochrome effect.,Any value from 0% to 100%,0–255
371,"/-negate
 Replace each pixel with its complementary color.
 
 The red, green, and blue intensities of an image are negated. White becomes black, yellow becomes blue, etc. 
 command can target specific color channels or apply to the entire image.
 This operation is useful for creating negative images or adjusting color contrast.",Basic Negate,magick input.jpg -negate output.jpg,"Inverts the colors of the image, turning black to white and vice versa.",N/A,N/A
372,,Negate with Channel,magick input.jpg -negate Red output.jpg,Negates only the red channel of the image.,N/A,N/A
373,,Negate with Multiple Channels,"magick input.jpg -negate Red,Green output.jpg",Negates the red and green channels.,N/A,N/A
374,,Negate with Alpha Channel,magick input.jpg -negate -alpha on output.png,Inverts colors and keeps transparency intact.,N/A,N/A
375,,Negate and Save Changes,magick input.jpg -negate +write output.jpg,Inverts colors and writes the output image in a single step.,N/A,N/A
376,"/-normalize
 Increase the contrast in an image by stretching the range of intensity values.
 The intensity values are stretched to cover the entire range of possible values. While doing so, black-out at most 2% of the pixels and white-out at most 1% of the pixels.",Basic Normalize,magick input.jpg -normalize output.jpg,Normalizes the image by scaling pixel values to the full range of colors.,N/A,N/A
377,,Normalize with Clip,magick input.jpg -normalize -clip output.jpg,Normalizes and clips pixel values to avoid overflow.,N/A,N/A
378,,Normalize with Separate Channel,magick input.jpg -normalize Red output.jpg,Normalizes only the red channel separately.,N/A,N/A
379,,Normalize with Auto-Level,magick input.jpg -normalize -auto-level output.jpg,Enhances contrast by applying auto-leveling after normalization.,N/A,N/A
380,"/-opaque color
 Change this color to the fill color within the image.
 It is useful for replacing colors in an image, making them opaque or transparent as needed.",Basic Opaque,magick input.jpg -opaque blue output.jpg,Changes all blue pixels to opaque.,N/A,N/A
381,,Opaque with a Color,magick input.jpg -opaque red -transparent white output.jpg,Changes red pixels to opaque while making white pixels transparent.,N/A,N/A
382,,Opaque by Color Range,"magick input.jpg -opaque ""rgb(255,0,0)"" output.jpg",Replaces pixels matching the specified RGB color with opaque.,N/A,N/A
383,,Opaque with Transparency,magick input.png -opaque black -transparent blue output.png,Makes black pixels opaque and blue pixels transparent.,N/A,N/A
384,"/-ordered-dither 
 option is particularly useful for reducing color banding and enhancing the visual quality of images with limited color palettes.
 -ordered-dither threshold_map{,level...}
 Dither the image using a pre-defined ordered dither threshold map specified, and a uniform color map with the given number of levels per color channel.",Basic Ordered Dither,magick input.jpg -ordered-dither output.png,Applies ordered dithering to the image for better color representation.,N/A,N/A
385,,Ordered Dither with Method,magick input.jpg -ordered-dither 4 output.png,Applies 4-color ordered dithering to reduce the color palette.,N/A,N/A
386,,Dither with Specific Pattern,magick input.jpg -ordered-dither 16 output.png,"Uses a 16-color pattern for dithering, enhancing details.",N/A,N/A
387,,Dither with Custom Threshold,magick input.jpg -ordered-dither 8 -threshold 50% output.png,Applies ordered dithering with a threshold to control color depth.,50%,N/A
388,"/-orient image orientation
 Specify orientation of a digital camera image.
 
 Note, this is a setting. This merely sets the orientation metadata, and does not change the image.",Set Orientation to Right,magick input.jpg -rotate 90 output.jpg,Rotates the image 90 degrees clockwise (Right).,N/A,N/A
389,,Set Orientation to Left,magick input.jpg -rotate -90 output.jpg,Rotates the image 90 degrees counterclockwise (Left).,N/A,N/A
390,,Set Orientation to 180,magick input.jpg -rotate 180 output.jpg,Rotates the image 180 degrees.,N/A,N/A
391,,Set Orientation to Top,magick input.jpg -flip output.jpg,Flips the image vertically (Top).,N/A,N/A
392,,Set Orientation to Bottom,magick input.jpg -flop output.jpg,Flips the image horizontally (Bottom).,N/A,N/A
393,,Undefined (No Action),magick input.jpg -orient Undefined output.jpg,Output: No change made to the image orientation.,N/A,N/A
394,,Top-Left (Do Nothing),magick input.jpg -orient top-left output.jpg,Output: No change made to the image orientation.,N/A,N/A
395,,Top-Right (Flip Horizontally),magick input.jpg -flip output.jpg,Output: Flips the image horizontally.,N/A,N/A
396,,Bottom-Right (Rotate 180 Degrees),magick input.jpg -rotate 180 output.jpg,Output: Rotates the image 180 degrees.,N/A,N/A
397,,Bottom-Left (Flip Vertically),magick input.jpg -flop output.jpg,Output: Flips the image vertically.,N/A,N/A
398,,Left-Top (Transpose),magick input.jpg -rotate 90 -flop output.jpg,Output: Rotates the image 90 degrees and flips horizontally.,N/A,N/A
399,,Right-Top (Rotate 90 Degrees),magick input.jpg -rotate 90 output.jpg,Output: Rotates the image 90 degrees clockwise.,N/A,N/A
400,,Right-Bottom (Transverse),magick input.jpg -rotate 90 -flip output.jpg,Output: Rotates the image 90 degrees and flips vertically.,N/A,N/A
401,,Left-Bottom (Rotate 270 Degrees),magick input.jpg -rotate -90 output.jpg,Output: Rotates the image 270 degrees clockwise.,N/A,N/A
402,"/-paint radius
 Simulate an oil painting.
 Each pixel is replaced by the most frequent color in a circular neighborhood whose width is specified with radius.",Basic Paint (Level 1),magick input.jpg -paint 1 output.jpg,Output: Applies a paint effect using a 1-pixel brush.,N/A,1
403,,Basic Paint (Level 2),magick input.jpg -paint 2 output.jpg,Output: Applies a paint effect using a 2-pixel brush.,N/A,2
404,,Basic Paint (Level 3),magick input.jpg -paint 3 output.jpg,Output: Applies a paint effect using a 3-pixel brush.,N/A,3
405,,Basic Paint (Level 4),magick input.jpg -paint 4 output.jpg,Output: Applies a paint effect using a 4-pixel brush.,N/A,4
406,,Basic Paint (Level 5),magick input.jpg -paint 5 output.jpg,Output: Applies a paint effect using a 5-pixel brush.,N/A,5
407,"/-posterize levels
 Reduce the image to a limited number of color levels per channel.
 Very low values of levels, e.g., 2, 3, 4, have the most visible effect.",Posterize Level 2,magick input.jpg -posterize 2 output.jpg,Output: Reduces the image to 2 levels of color.,N/A,2
408,,Posterize Level 3,magick input.jpg -posterize 3 output.jpg,Output: Reduces the image to 3 levels of color.,N/A,3
409,,Posterize Level 4,magick input.jpg -posterize 4 output.jpg,Output: Reduces the image to 4 levels of color.,N/A,4
410,,Posterize Level 5,magick input.jpg -posterize 5 output.jpg,Output: Reduces the image to 5 levels of color.,N/A,5
411,"/-raise thickness
 Lighten or darken image edges.
 This will create a 3-D effect. 
  -raise does not alter the dimensions of the image.
 The -raise command is used to adjust the position of the image, creating a raised effect.
 It accepts positive values to raise the image or negative values to lower it, as well as specific dimensions for precise control.",Raise Image by 10 pixels,magick input.jpg -raise 10 output.jpg,Output: Raises the image by 10 pixels.,N/A,10 pixels
412,,Raise Image by 20 pixels,magick input.jpg -raise 20 output.jpg,Output: Raises the image by 20 pixels.,N/A,20 pixels
413,,Raise Image by Negative Value,magick input.jpg -raise -10 output.jpg (this will not work),Output: Lowers the image by 10 pixels (if supported).,N/A,-10 pixels
414,,Raise with Specific Geometry,magick input.jpg -raise 20x10 output.jpg,Output: Raises the image by 20 pixels in height and 10 pixels in width.,N/A,20x10 pixels
415,"/-random-threshold lowxhigh
 Apply a random threshold to the image.
 The -random-threshold command allows for random thresholding effects based on provided values, creating unique visual outputs.
 You can specify thresholds as percentages, decimal values, or ranges for more control over the effect.",Random Threshold with Default,magick input.jpg -random-threshold output.jpg,Output: Applies a random threshold to the image.,N/A,Default settings
416,,Random Threshold with Percentage,magick input.jpg -random-threshold 30% output.jpg,Output: Applies a random threshold with 30% intensity.,30%,0% - 100%
417,,Random Threshold with Specific Value,magick input.jpg -random-threshold 0.5 output.jpg,Output: Applies a random threshold with a value of 0.5 (50%).,0.5,0.0 - 1.0
418,,Random Threshold with Two Values,"magick input.jpg -random-threshold 0.2,0.8 output.jpg",Output: Applies a random threshold between 0.2 and 0.8.,0.2 - 0.8,0.0 - 1.0
419,"/-resample horizontalxvertical
 Resample image to specified horizontal and vertical resolution.
 The -resample command is used for changing the resolution of an image, affecting its quality and size when printed or displayed.",Resample with 72 DPI,magick input.jpg -resample 72 output.jpg,Output: Resamples the image to 72 dots per inch (DPI).,N/A,1 - 300 DPI
420,,Resample with 300 DPI,magick input.jpg -resample 300 output.jpg,Output: Resamples the image to 300 DPI for high-quality print.,N/A,1 - 300 DPI
421,,Resample with Size Specification,magick input.jpg -resample 100x100 output.jpg,Output: Resamples the image to a specific size of 100x100 pixels.,N/A,Specified Size
422,,Resample with Percentage,magick input.jpg -resample 50% output.jpg,Output: Resamples the image to 50% of its original size.,N/A,0% - 100%
423,,Resample with Different Units,magick input.jpg -resample 2.54x2.54 cm output.jpg,Output: Resamples the image to 2.54 cm (1 inch) for both dimensions.,N/A,"Units: cm, in, etc."
424,"/-resize geometry
 Resize an image.
 The -resize command modifies the dimensions of an image, allowing for a variety of resizing methods and constraints.
 Commands can use specific pixel dimensions, percentages, or maintain aspect ratios while resizing.",Resize to Specific Dimensions,magick input.jpg -resize 200x200 output.jpg,Output: Resizes the image to 200x200 pixels.,N/A,Specified Size
425,,Resize by Percentage,magick input.jpg -resize 50% output.jpg,Output: Resizes the image to 50% of its original size.,N/A,1% - 100%
426,,Resize Maintaining Aspect Ratio,magick input.jpg -resize 300x output.jpg,"Output: Resizes the image to 300 pixels wide, maintaining aspect ratio.",N/A,Specified Width
427,,Resize with Maximum Dimensions,magick input.jpg -resize 400x300^ output.jpg,"Output: Resizes the image to fit within 400x300 pixels, cropping excess.",N/A,Specified Size
428,,Resize with Adaptive Resampling,magick input.jpg -resize 800x600! output.jpg,"Output: Resizes the image to exactly 800x600 pixels, ignoring aspect ratio.",N/A,Specified Size
429,,Resize Using a Filter,magick input.jpg -resize 50% -filter Lanczos output.jpg,Output: Resizes the image to 50% using the Lanczos filter for quality.,N/A,1% - 100%
430,,Resize to Fit Within Specific Bounds,magick input.jpg -resize 800x600^ output.jpg,"Output: Resizes the image to fill the 800x600 area, cropping if necessary.",N/A,Specified Size
431,"/-roll {+-}x{+-}y
 Roll an image vertically or horizontally by the amount given like pixels.
 A negative x offset rolls the image right-to-left. A negative y offset rolls the image bottom-to-top.",Roll Right by 50 Pixels,magick input.jpg -roll +50+0 output.jpg,Output: Rolls the image 50 pixels to the right.,N/A,Any integer value
432,,Roll Down by 30 Pixels,magick input.jpg -roll 0+30 output.jpg,Output: Rolls the image 30 pixels down.,N/A,Any integer value
433,,Roll Left by 20 Pixels,magick input.jpg -roll -20+0 output.jpg,Output: Rolls the image 20 pixels to the left.,N/A,Any integer value
434,,Roll Up by 10 Pixels,magick input.jpg -roll 0-10 output.jpg,Output: Rolls the image 10 pixels up.,N/A,Any integer value
435,,Roll Right and Down,magick input.jpg -roll +30+20 output.jpg,Output: Rolls the image 30 pixels right and 20 pixels down.,N/A,Any integer value
436,,Roll Left and Up,magick input.jpg -roll -15-25 output.jpg,Output: Rolls the image 15 pixels left and 25 pixels up.,N/A,Any integer value
437,,Roll with Negative Values,magick input.jpg -roll -50-50 output.jpg,Output: Rolls the image 50 pixels left and 50 pixels up.,N/A,Any integer value
438,"/-rotate degrees{<}{>}
 Apply Paeth image rotation (using shear operations) to the image.
 The -rotate command rotates the image around its center by the specified angle.
 Positive values indicate a clockwise rotation, while negative values indicate a counter-clockwise rotation.",Rotate by 90 Degrees,magick input.jpg -rotate 90 output.jpg,Output: Rotates the image 90 degrees clockwise.,N/A,Any multiple of 90 degrees
439,,Rotate by 180 Degrees,magick input.jpg -rotate 180 output.jpg,Output: Rotates the image 180 degrees (upside down).,N/A,Any multiple of 90 degrees
440,,Rotate by 270 Degrees,magick input.jpg -rotate 270 output.jpg,Output: Rotates the image 270 degrees clockwise (90 degrees counter-clockwise).,N/A,Any multiple of 90 degrees
441,,Rotate by 45 Degrees,magick input.jpg -rotate 45 output.jpg,Output: Rotates the image 45 degrees clockwise.,N/A,Any angle (0-360 degrees)
442,,Rotate by -90 Degrees,magick input.jpg -rotate -90 output.jpg,Output: Rotates the image 90 degrees counter-clockwise.,N/A,Any multiple of 90 degrees
443,,Rotate by -180 Degrees,magick input.jpg -rotate -180 output.jpg,Output: Rotates the image 180 degrees (upside down).,N/A,Any multiple of 90 degrees
444,,Rotate by -45 Degrees,magick input.jpg -rotate -45 output.jpg,Output: Rotates the image 45 degrees counter-clockwise.,N/A,Any angle (0-360 degrees)
445,"/-rotational-blur angle
 Blur around the center of the image.
 The radius determines the strength of the blur; higher values produce a more pronounced blur effect.
 Negative values for radius can create inverse effects",Basic Rotational Blur,magick input.jpg -rotational-blur 5 output.jpg,Output: Applies a rotational blur with a radius of 5 pixels.,N/A,Any positive value
446,,Rotational Blur with Higher Radius,magick input.jpg -rotational-blur 10 output.jpg,Output: Applies a rotational blur with a radius of 10 pixels.,N/A,Any positive value
447,,Rotational Blur with Maximum Radius,magick input.jpg -rotational-blur 100 output.jpg,Output: Applies a rotational blur with a radius of 100 pixels.,N/A,Any positive value
448,,Rotational Blur with Negative Radius,magick input.jpg -rotational-blur -5 output.jpg,Output: Applies a rotational blur with a negative radius (inverse effect).,N/A,Any negative value
449,,Rotational Blur with Specific Angle,magick input.jpg -rotational-blur 15.5 output.jpg,Output: Applies a rotational blur with a radius of 15.5 pixels.,N/A,Any positive value
450,White Balance(Vibrance Value),Complete desaturation,magick input.png -define white-balance:vibrance=-100% -white-balance output_desaturated.png,Complete desaturation,-100%,
451,,Very high reduction in color saturation,magick input.png -define white-balance:vibrance=-80% -white-balance output_muted_80.png,Very high reduction in color saturation,-80%,
452,,Strong reduction in saturation,magick input.png -define white-balance:vibrance=-50% -white-balance output_muted_50.png,Strong reduction in saturation,-50%,
453,,Significant reduction in color saturation,magick input.png -define white-balance:vibrance=-30% -white-balance output_muted_30.png,Significant reduction in color saturation,-30%,
454,,Moderate reduction in saturation,magick input.png -define white-balance:vibrance=-20% -white-balance output_muted_20.png,Moderate reduction in saturation,-20%,
455,,Slight reduction in saturation,magick input.png -define white-balance:vibrance=-10% -white-balance output_muted_10.png,Slight reduction in saturation,-10%,
456,,No change in color saturation,magick input.png -define white-balance:vibrance=0% -white-balance output_original.png,No change in color saturation,0%,
457,,Slight enhancement of color saturation,magick input.png -define white-balance:vibrance=10% -white-balance output_vibrant_10.png,Slight enhancement of color saturation,10%,
458,,Moderate enhancement of saturation,magick input.png -define white-balance:vibrance=20% -white-balance output_vibrant_20.png,Moderate enhancement of saturation,20%,
459,,Significant enhancement of color saturation,magick input.png -define white-balance:vibrance=30% -white-balance output_vibrant_30.png,Significant enhancement of color saturation,30%,
460,,High saturation; may cause clipping,magick input.png -define white-balance:vibrance=40% -white-balance output_vibrant_40.png,High saturation; may cause clipping,40%,
461,,Strong enhancement of saturation,magick input.png -define white-balance:vibrance=50% -white-balance output_vibrant_50.png,Strong enhancement of saturation,50%,
462,,Very high enhancement of color saturation,magick input.png -define white-balance:vibrance=80% -white-balance output_vibrant_80.png,Very high enhancement of color saturation,80%,
463,,Maximum enhancement; extreme saturation,magick input.png -define white-balance:vibrance=100% -white-balance output_extreme_vibrant.png,Maximum enhancement; extreme saturation,100%,
464,Wave Filter (Amplitude),No wave effect,magick input.png -wave 0x20 output_no_wave.png,The image remains unchanged.,0,
465,,Slight wave distortion,magick input.png -wave 10x20 output_wave_10.png,Subtle wave effect; minor distortion visible.,10,
466,,Moderate wave distortion,magick input.png -wave 20x20 output_wave_20.png,Noticeable wave effect; more pronounced distortion.,20,
467,,Strong wave distortion,magick input.png -wave 30x20 output_wave_30.png,Clear wave pattern; significant distortion.,30,
468,,Very strong wave distortion,magick input.png -wave 50x20 output_wave_50.png,Intense wave effect; strong visual impact.,50,
469,,Extreme wave distortion,magick input.png -wave 100x20 output_wave_100.png,Highly distorted image; can lose detail.,100,
470,Wavelength,Very tight waves,magick input.png -wave 10x10 output_wave_wavelength_10.png,Waves appear very close together; tight sine wave effect.,10,
471,,Standard wave spacing,magick input.png -wave 20x20 output_wave_wavelength_20.png,Regular wave effect; balanced sine wave.,20,
472,,Wider wave spacing,magick input.png -wave 30x20 output_wave_wavelength_30.png,Waves are more spaced out; smoother appearance.,30,
473,,Very wide wave spacing,magick input.png -wave 50x20 output_wave_wavelength_50.png,Large waves; less frequent sine wave pattern.,50,
474,Unsharp (Radius x Sigma x Gain x Threshold),Subtle sharpening,magick input.png -unsharp 0x1.0x1.0x0.05 output.png,A small radius and sigma apply light sharpening with a small threshold to enhance fine details.,0x1.0x1.0x0.05,
475,,Moderate sharpening,magick input.png -unsharp 1x1.0x1.5x0.05 output.png,Stronger sharpening effect by increasing gain; subtle details become more prominent,1x1.0x1.5x0.05,
476,,Blurred areas less sharpened,magick input.png -unsharp 2x2.0x1.0x0.1 output.png,Increasing the radius and threshold limits sharpening to significant edges.,2x2.0x1.0x0.1,
477,,Very sharp image with contrasty edges,magick input.png -unsharp 3x2.0x2.0x0.05 output.png,"High gain causes edges to pop, suitable for high-contrast effects.",3x2.0x2.0x0.05,
478,,Soft sharpening with minimal enhancement,magick input.png -unsharp 5x3.0x0.5x0.05 output.png,"Larger radius smooths over small details, retaining soft focus.",5x3.0x0.5x0.05,
479,,Extreme sharpening with noise risk,magick input.png -unsharp 0x1.0x3.0x0.02 output.png,"High gain can cause noise or halos around sharp edges, especially in lower-threshold",0x1.0x3.0x0.02,
480,,Sharpen only strong edges,magick input.png -unsharp 2x2.0x1.0x0.2 output.png,A higher threshold avoids sharpening background textures and noise.,2x2.0x1.0x0.2,
481,,"High radius, light sharpening on larger areas",magick input.png -unsharp 10x5.0x1.0x0.1 output.png,"Suitable for portraits, enhances facial contours without exaggerating fine wrinkles.",10x5.0x1.0x0.1,
482,,Over-sharpening with high noise,magick input.png -unsharp 3x1.0x1.0x0.05 output.png,"Tiny radius and low threshold sharpen everything, but this may amplify noise.",0x0.5x1.0x0.01,
483,"Transform Filter sx, sy, rx, ry, tx, ty",Identity (No Transformation),"magick input.jpg -affine 1,0,0,1,0,0 -transform output.jpg",No change; image stays the same.,"1,0,0,1,0,0",
484,,Uniform Scaling (2x),"magick input.jpg -affine 2,0,0,2,0,0 -transform output.jpg",Image is scaled 2x larger along both axes.,"2,0,0,2,0,0",
485,,Uniform Scaling (0.5x),"magick input.jpg -affine 0.5,0,0,0.5,0,0 -transform output.jpg",Image is scaled down to half its size.,"0.5,0,0,0.5,0,0",
486,,Skew / Rotation (45 degrees),"magick input.jpg -affine 1,-1,1,1,0,0 -transform output.jpg",Image appears skewed along one diagonal.,"1,-1,1,1,0,0",
487,,Horizontal Translation (+50px),"magick input.jpg -affine 1,0,0,1,50,0 -transform output.jpg",Image moves 50 pixels to the right.,"1,0,0,1,50,0",
488,,Vertical Translation (+50px),"magick input.jpg -affine 1,0,0,1,0,50 -transform output.jpg",Image moves 50 pixels down.,"1,0,0,1,0,50",
489,,Combination: Scale + Skew,"magick input.jpg -affine 1.5,0.2,-0.2,1.5,0,0 -transform output.jpg",Scales image by 1.5x and slightly skews it.,"1.5,0.2,-0.2,1.5,0,0",
490,,Horizontal Flip,"magick input.jpg -affine -1,0,0,1,0,0 -transform output.jpg",Image is flipped horizontally (mirrored).,"-1,0,0,1,0,0",
491,,Vertical Flip,"magick input.jpg -affine 1,0,0,-1,0,0 -transform output.jpg",Image is flipped vertically (upside down).,"1,0,0,-1,0,0",
492,,90° Rotation,"magick input.jpg -affine 0,1,-1,0,0,0 -transform output.jpg",Rotates the image by 90 degrees counter-clockwise.,"0,1,-1,0,0,0",
493,,180° Rotation,"magick input.jpg -affine -1,0,0,-1,0,0 -transform output.jpg",Flips the image upside down (180° rotation).,"-1,0,0,-1,0,0",
494,,270° Rotation,"magick input.jpg -affine 0,-1,1,0,0,0 -transform output.jpg",Rotates image 270° counter-clockwise.,"0,-1,1,0,0,0",
495,,30° Rotation + Skew,"magick input.jpg -affine 1,-0.5,0.5,1,0,0 -transform output.jpg",Skews the image along x and y with a slight rotation.,"1,-0.5,0.5,1,0,0",
496,,45° Skew (Diagonal),"magick input.jpg -affine 1,1,-1,1,0,0 -transform output.jpg",Skews the image along a 45° diagonal.,"1,1,-1,1,0,0",
497,,45° Rotation + Skew,"magick input.jpg -affine 1,-1,1,1,0,0 -transform output.jpg",Rotates and skews the image diagonally.,"1,-1,1,1,0,0",
498,,Strong Skew,"magick input.jpg -affine 1,2,-2,1,0,0 -transform output.jpg",Strong skew along both axes.,"1,2,-2,1,0,0",
499,,Subtle Skew,"magick input.jpg -affine 1,0.5,-0.5,1,0,0 -transform output.jpg",A slight skew horizontally and vertically.,"1,0.5,-0.5,1,0,0",
500,Tint Filter,Barely noticeable tint. Minimal shift in mid-range colors.,magick input.jpg -fill blue -tint 10% output.jpg,"Original image almost unchanged, with slight hints of fill color.",0% - 10%,
501,,Subtle tint. Light color overlay on neutral tones.,magick input.jpg -fill red -tint 25% output.jpg,Mildly altered grays and muted shades. Ideal for softening tones.,11% - 30%,
502,,Balanced tint. Moderate blend between the original and fill colors.,magick input.jpg -fill green -tint 50% output.jpg,Grays noticeably shift to the fill color; other hues get a mild overlay.,31% - 50%,
503,,Strong tint effect. Tint color dominates neutral tones.,magick input.jpg -fill yellow -tint 75% output.jpg,Mid-tones and grays heavily shift to the tint color; most of the original color fades.,51% - 75%,
504,,Nearly full tint. Only traces of original color remain.,magick input.jpg -fill purple -tint 90% output.jpg,Strong artistic effect. Image takes on a heavily tinted appearance.,76% - 99%,
505,,Complete tint. Mid-range tones fully replaced with the fill color.,magick input.jpg -fill cyan -tint 100% output.jpg,"The image becomes a version dominated by the fill color, losing original detail in affected areas.",100%,
506,Thumbnail Filter (Geometry Argument),"Scales image to fit inside WxH, keeping aspect ratio.",magick input.jpg -thumbnail 300x200 output.jpg,Image fits within 300x200 with possible padding.,"WxH (e.g., 300x200)",
507,,Enlarges and crops to fill WxH exactly.,magick input.jpg -thumbnail 300x200^ output.jpg,Parts of the image may be cropped.,"WxH^ (e.g., 300x200^)",
508,,"Forces image to resize exactly to WxH, ignoring aspect ratio",magick input.jpg -thumbnail 300x200! output.jpg,Image may look stretched or squished.,"WxH! (e.g., 300x200!)",
509,,Sets width to W; height is adjusted automatically.,magick input.jpg -thumbnail 300x output.jpg,Image scales proportionally based on width.,"W (e.g., 300x)",
510,,Sets height to H; width adjusts automatically.,magick input.jpg -thumbnail x200 output.jpg,Image scales proportionally based on height.,"xH (e.g., x200)",
511,,Resizes the image by a percentage.,magick input.jpg -thumbnail 50% output.jpg,Image scales to half its original size.,"% (e.g., 50%)",
512,,Resizes to fit within an aspect ratio.,magick input.jpg -thumbnail 4:3 output.jpg,Image maintains ratio with padding/cropping,"Aspect Ratio (e.g., 4:3)",
513,,Resizes only if the width is larger than W.,magick input.jpg -thumbnail 300x> output.jpg,Image is reduced if too wide.,"Longer Edge (e.g., 300x>)",
514,,Resizes only if the height is smaller than H.,magick input.jpg -thumbnail x200< output.jpg,Enlarges image if height is small.,"Shorter Edge (e.g., x200<)",
515,,Ensures the shortest side is at least W or H.,magick input.jpg -thumbnail 300^> output.jpg,Enlarges the smallest dimension to the given size.,"Min Dimension (e.g., 300^>)",
